ミュゼプラチナム,株式会社ミュゼプラチナム,https://track.affiliate-b.com/visit.php?guid=ON&a=M55347-h261040n&p=U445860X,5,ミュゼは美容脱毛専門サロン店舗数・売上、美容脱毛サロン顧客満足度でNo.1を獲得。安心・便利・通いやすいサービスで、お客さまに選ばれています。,エステサロン,S.S.C.方式(スムーススキンコントロール方式),全身,確認中,"Enjoy, Girlsキャンペーン"
銀座カラー,株式会社エム・シーネットワークスジャパン,https://track.affiliate-b.com/visit.php?guid=ON&a=i2595j-d95060z&p=U445860X,5,銀座カラーではIPL脱毛という、光のエネルギーがムダ毛に直接作用する脱毛方法を採用しています。さらに、オリジナル保湿ケア『美肌潤美』（オプション）を施術後におこなっております。美肌効果と脱毛効果を同時に高め、格段に違う効果を実感していただけます。,エステサロン,IPL脱毛(光脱毛),全身,確認中,プレミアムファストパス:新全身脱毛「初月+2ヶ月目分0円」
脱毛ラボ,株式会社セドナエンタープライズ,https://track.affiliate-b.com/visit.php?guid=ON&a=44395S-u2567941&p=U445860X,5,脱毛ラボでは、「S.S.C.脱毛」を採用！ 従来のキセノンライトによる脱毛とは異なる「クリプトンライト」によるS.S.C脱毛だから、お肌に直接的なダメージを与えません！さらに専用ジェルに含まれるフィリニーブ成分がお肌に浸透します。,エステサロン,S.S.C.方式(スムーススキンコントロール方式),全身,M.S.F.T.クリプトン、P.Sクリプトン、クリプトンSEV,"月額制全身脱毛プラン 3,980円/月額 が4ヶ月無料！"
シースリー,株式会社ビューティースリー,http://c-3-esthe.com/lp002/?f=4,5,"シースリーでは日本人女性のために開発された最新の超光速脱毛機""C3 GTR""で全身最短45分！脱毛完了まで期限切れなしの脱毛品質保証。納得いくまで何度でも利用できます！",エステサロン,光脱毛,全身,C3 GTR,"全身永久保障プラン月額7,500円が最大2か月0円"
エターナルラビリンス,株式会社グロワール・ブリエ東京,https://track.affiliate-b.com/visit.php?guid=ON&a=S4952T-O264304o&p=U445860X,5,"設立10年を超え、あの有名人も絶賛する全身脱毛サロン。エタラビ。
 TVでもお馴染みの脱毛サロンとして口コミを含めた会員は10万人を突破。
 他サロンとの大きな違いは「お客様とのコミュニケーション」を一番大切に考えていることです。
 無料カウンセリングから始まり、脱毛の正しい知識をお伝えしながらご納得のうえ施術に入ります。結果としてリピーター率は80%を超えお客様の満足度も高いものとなります。
 創業以来最も力を入れている『全身脱毛』などお客様のニーズに応じたコースを取りそろえています。輝かしい女性の価値を作る「愛され美肌脱毛」を目指しています。",エステサロン,美容ライト脱毛,全身,純国産美容脱毛機PLASMA More,"真360°脱毛 全身全部位を360°脱毛。通常月額9,500円が今なら初月から3か月分が0円"
キレイモ,株式会社ヴィエリス,https://track.affiliate-b.com/visit.php?guid=ON&a=N6315q-A250652A&p=U445860X,4,全身脱毛サロンキレイモは、業界口コミNO.01！だからタレントさんや読者モデルのみなさんに多数ご来店いただいております。ご来店の様子は随時、キレイモ公式twitterでも発信していますので、是非ご覧になってください。,エステサロン,S.S.C.方式(スムーススキンコントロール方式),全身,確認中,全身脱毛33カ所が通常9500円のところが、初月0円（税込）
エステティックTBC,TBCグループ株式会社,https://track.affiliate-b.com/visit.php?guid=ON&a=N6315q-A250652A&p=U445860X,4,1本1本確実に処理していく「TBCスーパー脱毛」。広範囲を一気に処理する「TBCライト脱毛」。その2つのメリットを組み合わせた「TBCスーパー＆ライト脱毛」をご用意。あなたにぴったりの脱毛方法が見つかります。,エステサロン,美容電気脱毛、美容ライト脱毛,全身,情報なし,両ワキ脱毛。スーパー＆ライト１回体験プランが初めて割価格の600円(税込)
ラ・ヴォーグ,株式会社ダイシン,https://track.affiliate-b.com/visit.php?guid=ON&a=a6684E-Z243974d&p=U445860X,4,ラ・ヴォーグの脱毛は、脱毛の効果だけではなく脱毛しながらお肌のコラーゲンを再生し、美肌に導く、コラーゲン美肌脱毛を採用しています。低価格で提供できる理由は、「最新の脱毛器の代理店をしていることで、大変高価なランニングコストを抑えることが可能になったこと」や、「最新の技術を使用することで、施術時間がスピードアップし、短時間で多くのお客様を施術出来るようになったこと」です。,エステサロン,光脱毛,全身,最新で安全で効果の高い純国産脱毛器・ＬＶＳ（エルブイエス）,"顔・VIOを含む全身脱毛55部位。月額3,200円が今なら4か月間0円。"
エピレ,株式会社シュプレイムルミナス,https://track.affiliate-b.com/visit.php?guid=ON&a=L4711u-2220810F&p=U445860X,4,"TBCがプロデュースする，お客様の声から生まれた脱毛専門サロン「エピレ」。Ｓパーツはもちもん，下記Ｌパーツも2,400円で体験が可能！
 エピレ店舗だけでなく全国４７都道府県のエステティックＴＢＣでも施術可能です！",エステサロン,光脱毛,全身,フェリークFv4,ハッピーつるスベキャンペーン。両ワキ+Vライン脱毛6回 通常販売価格 28512円がなんと700円(97%OFF)
ラットタット,ミスプレミアム株式会社,https://track.affiliate-b.com/visit.php?guid=ON&a=V7221w-B239472x&p=U445860X,3,"2015年5月に新規オープンの女性専用の脱毛サロンです。
 月額6,800円で50部位が脱毛できる！
 10年以上のキャリアを持つ脱毛のプロもたくさんおります。技術力に自信があります！高級ホテル品質のタオル類を1回使うごとにプロのクリーニングにお願いしています。施術前後に使用する保湿ローションは医療機関と一緒に開発した独自のもの。
 これまでにない脱毛＆美肌効果を体感ください。",エステサロン,確認中,全身,確認中,"全身50部位を安心の月額制で完全脱毛。通常価格6,500円が今なら初月から2か月分0円。"
